Distancia_Bala,Velocidad_Bala,Distancia_Bala2,Salto,Izquierda
678,-24,83,0,1
664,-24,65,0,1
650,-24,47,0,1
636,-24,29,0,1
622,-24,11,0,1
608,-24,7,0,1
574,-24,25,0,1
540,-24,43,0,1
506,-24,61,0,1
472,-24,79,0,1
438,-24,97,0,1
404,-24,115,0,1
370,-24,605,0,0
336,-24,587,0,0
302,-24,569,0,0
268,-24,551,0,0
234,-24,533,0,0
200,-24,515,0,0
176,-24,497,0,0
152,-24,459,1,0
128,-24,424,1,0
104,-24,391,1,0
80,-24,361,1,0
56,-24,333,1,0
32,-24,308,1,0
8,-24,285,1,0
16,-24,265,1,0
40,-24,247,1,0
64,-24,232,1,0
88,-24,219,1,0
1280,-24,209,0,0
1256,-24,201,0,0
1232,-24,196,0,0
1208,-24,193,0,0
1184,-24,193,0,0
1170,-24,191,0,1
1156,-24,173,0,1
1142,-24,155,0,1
1128,-24,137,0,1
1114,-24,119,0,1
1100,-24,101,0,1
1086,-24,83,0,1
1072,-24,65,0,1
1058,-24,47,0,1
1044,-24,29,0,1
1030,-24,11,0,1
1016,-24,7,0,1
982,-24,25,0,1
948,-24,43,0,1
914,-24,61,0,1
880,-24,79,0,1
846,-24,97,0,1
812,-24,115,0,1
778,-24,605,0,0
744,-24,587,0,0
710,-24,569,0,0
676,-24,551,0,0
642,-24,533,0,0
608,-24,515,0,0
584,-24,497,0,0
560,-24,479,0,0
536,-24,461,0,0
512,-24,443,0,0
488,-24,425,0,0
464,-24,407,0,0
440,-24,389,0,0
416,-24,371,0,0
392,-24,353,0,0
368,-24,335,0,0
344,-24,317,0,0
320,-24,299,0,0
296,-24,281,0,0
282,-24,263,0,1
268,-24,245,0,1
254,-24,227,0,1
240,-24,209,0,1
226,-24,191,0,1
212,-24,173,0,1
198,-24,155,0,1
184,-24,137,0,1
170,-24,99,1,1
156,-24,64,1,1
142,-24,31,1,1
128,-24,1,1,1
99,-24,27,1,1
70,-24,52,1,1
41,-24,75,1,1
12,-24,95,1,1
1375,-24,113,0,1
1346,-24,128,0,1
1317,-24,141,0,1
1288,-24,151,0,1
1259,-24,159,0,1
1230,-24,164,0,1
1201,-24,571,0,0
1172,-24,571,0,0
1138,-24,569,0,0
1104,-24,551,0,0
1070,-24,533,0,0
1036,-24,515,0,0
1002,-24,497,0,0
968,-24,479,0,0
944,-24,461,0,0
920,-24,443,0,0
896,-24,425,0,0
872,-24,407,0,0
848,-24,389,0,0
824,-24,371,0,0
800,-24,353,0,0
776,-24,335,0,0
752,-24,317,0,0
728,-24,299,0,0
704,-24,281,0,0
680,-24,263,0,0
656,-24,245,0,0
632,-24,227,0,0
608,-24,209,0,0
584,-24,191,0,0
570,-24,173,0,1
556,-24,155,0,1
542,-24,137,0,1
528,-24,119,0,1
514,-24,101,0,1
500,-24,83,0,1
486,-24,65,0,1
472,-24,47,0,1
458,-24,29,0,1
444,-24,11,0,1
430,-24,7,0,1
416,-24,25,0,1
382,-24,43,0,1
348,-24,61,0,1
314,-24,79,0,1
280,-24,97,0,1
246,-24,115,0,1
212,-24,605,0,0
183,-24,567,1,0
154,-24,532,1,0
125,-24,499,1,0
96,-24,469,1,0
67,-24,441,1,0
38,-24,416,1,0
9,-24,393,1,1
20,-24,373,1,1
49,-24,355,1,1
78,-24,340,1,1
1285,-24,327,0,1
1260,-20,317,0,0
1240,-20,309,0,0
1220,-20,304,0,0
1200,-20,301,0,0
1180,-20,301,0,0
1160,-20,299,0,0
1140,-20,281,0,0
1120,-20,263,0,0
1100,-20,245,0,0
1080,-20,227,0,0
1060,-20,209,0,0
1040,-20,191,0,0
1020,-20,173,0,0
1010,-20,155,0,1
1000,-20,137,0,1
990,-20,119,0,1
980,-20,101,0,1
970,-20,83,0,1
960,-20,65,0,1
950,-20,47,0,1
940,-20,29,0,1
930,-20,11,0,1
920,-20,7,0,1
910,-20,25,0,1
900,-20,43,0,1
870,-20,61,0,1
840,-20,79,0,1
810,-20,97,0,1
780,-20,115,0,1
750,-20,605,0,0
720,-20,587,0,0
690,-20,569,0,0
660,-20,551,0,0
630,-20,533,0,0
600,-20,515,0,0
570,-20,497,0,0
540,-20,479,0,0
520,-20,461,0,0
500,-20,443,0,0
